0.000132000 192.168.1.11:43342 192.168.1.2:5051 0 0x1187eaa2 0x1187eaa2 10 0 14624 176
4.344221556 192.168.1.11:43342 192.168.1.2:5051 0 0x11883096 0x1187f56a 11 0 22560 176
4.392217058 192.168.1.11:43342 192.168.1.2:5051 0 0x1188418e 0x1187fff7 12 0 28352 177
4.440238516 192.168.1.11:43342 192.168.1.2:5051 0 0x11885286 0x11880b47 13 0 34144 179
4.480221404 192.168.1.11:43342 192.168.1.2:5051 0 0x1188637e 0x118815d4 14 0 39936 181
5.752237616 192.168.1.11:43342 192.168.1.2:5051 0 0x1188716a 0x11882061 15 0 45728 184
5.800232136 192.168.1.11:43342 192.168.1.2:5051 0 0x11888262 0x11882bb1 16 0 51520 184
5.848231952 192.168.1.11:43342 192.168.1.2:5051 0 0x1188935a 0x1188363e 17 0 57312 184
5.896234286 192.168.1.11:43342 192.168.1.2:5051 0 0x1188a452 0x1188418e 18 0 63104 185
5.944219858 192.168.1.11:43342 192.168.1.2:5051 0 0x1188b54a 0x11884cde 19 0 64096 185
5.992222886 192.168.1.11:43342 192.168.1.2:5051 0 0x1188c273 0x1188582e 20 0 64096 186
6.048212264 192.168.1.11:43342 192.168.1.2:5051 0 0x1188d36b 0x1188637e 21 0 64096 187
6.128180262 192.168.1.11:43342 192.168.1.2:5051 0 0x1188e463 0x11886ece 22 0 64096 188
7.208196096 192.168.1.11:43342 192.168.1.2:5051 0 0x1188efb3 0x1188716a 23 0 64096 191
7.264221378 192.168.1.11:43342 192.168.1.2:5051 0 0x118900ab 0x11887cba 24 0 66400 190
7.312222164 192.168.1.11:43342 192.168.1.2:5051 0 0x118911a3 0x1188880a 25 0 66400 189
7.360191254 192.168.1.11:43342 192.168.1.2:5051 0 0x1189229b 0x1188935a 26 0 66400 189
7.408225580 192.168.1.11:43342 192.168.1.2:5051 0 0x11893393 0x11889eaa 27 0 66400 189
7.456233076 192.168.1.11:43342 192.168.1.2:5051 0 0x1189448b 0x1188a9fa 28 0 66400 190
7.504212366 192.168.1.11:43342 192.168.1.2:5051 0 0x11895583 0x1188b54a 29 0 66400 191
7.512131814 192.168.1.11:43342 192.168.1.2:5051 0 0x1189667b 0x1188c09a 30 0 66400 191
7.568188240 192.168.1.11:43342 192.168.1.2:5051 0 0x118971cb 0x1188c273 31 0 66400 192
